,number,value,datetime_start,datetime_complete,duration,params_C,params_M,params_N,params_P,params_S,state
0,0,38.4,2023-12-06 11:12:41.191792,2023-12-06 11:12:41.681838,0 days 00:00:00.490046,0.95,0.33,4.0,50,roulette wheel,COMPLETE
1,1,36.8,2023-12-06 11:12:41.682248,2023-12-06 11:12:51.461832,0 days 00:00:09.779584,0.6,0.5,0.0,20,roulette wheel,COMPLETE
2,2,37.2,2023-12-06 11:12:51.462035,2023-12-06 11:12:51.954535,0 days 00:00:00.492500,0.6,0.33,1.0,10,random selection,COMPLETE
3,3,37.6,2023-12-06 11:12:51.954719,2023-12-06 11:13:31.835399,0 days 00:00:39.880680,0.0,0.5,,100,roulette wheel,COMPLETE
4,4,37.2,2023-12-06 11:13:31.835650,2023-12-06 11:13:59.658765,0 days 00:00:27.823115,0.8,0.01,0.0,100,weighted choice,COMPLETE
5,5,40.4,2023-12-06 11:13:59.659013,2023-12-06 11:14:00.038853,0 days 00:00:00.379840,0.6,0.01,2.0,50,roulette wheel,COMPLETE
6,6,36.8,2023-12-06 11:14:00.039037,2023-12-06 11:14:00.583704,0 days 00:00:00.544667,0.8,0.5,4.0,50,roulette wheel,COMPLETE
7,7,38.0,2023-12-06 11:14:00.583900,2023-12-06 11:14:01.120820,0 days 00:00:00.536920,0.95,0.5,2.0,10,random selection,COMPLETE
8,8,37.6,2023-12-06 11:14:01.121000,2023-12-06 11:14:08.486231,0 days 00:00:07.365231,0.0,0.33,,20,roulette wheel,COMPLETE
9,9,37.2,2023-12-06 11:14:08.486406,2023-12-06 11:14:08.877545,0 days 00:00:00.391139,0.8,0.01,4.0,10,random selection,COMPLETE
10,10,37.2,2023-12-06 11:14:08.877728,2023-12-06 11:14:09.216631,0 days 00:00:00.338903,0.8,0.1,2.0,10,random selection,COMPLETE
11,11,38.8,2023-12-06 11:14:09.216802,2023-12-06 11:14:09.737030,0 days 00:00:00.520228,0.5,0.01,4.0,10,weighted choice,COMPLETE
12,12,37.6,2023-12-06 11:14:09.737210,2023-12-06 11:14:10.216440,0 days 00:00:00.479230,0.95,0.33,1.0,10,weighted choice,COMPLETE
13,13,37.6,2023-12-06 11:14:10.216620,2023-12-06 11:14:10.902691,0 days 00:00:00.686071,0.5,0.5,2.0,100,weighted choice,COMPLETE
14,14,37.6,2023-12-06 11:14:10.902873,2023-12-06 11:14:33.477903,0 days 00:00:22.575030,0.5,0.5,0.0,50,roulette wheel,COMPLETE
15,15,36.8,2023-12-06 11:14:33.478083,2023-12-06 11:14:47.956279,0 days 00:00:14.478196,0.6,0.0,0.0,20,roulette wheel,COMPLETE
16,16,38.0,2023-12-06 11:14:47.956446,2023-12-06 11:14:48.317966,0 days 00:00:00.361520,0.5,0.1,1.0,20,roulette wheel,COMPLETE
17,17,37.6,2023-12-06 11:14:48.318154,2023-12-06 11:15:22.845182,0 days 00:00:34.527028,0.5,0.33,0.0,100,roulette wheel,COMPLETE
18,18,37.2,2023-12-06 11:15:22.845375,2023-12-06 11:15:27.397882,0 days 00:00:04.552507,0.0,0.5,,10,random selection,COMPLETE
19,19,42.8,2023-12-06 11:15:27.398061,2023-12-06 11:15:27.667036,0 days 00:00:00.268975,0.95,0.0,1.0,100,weighted choice,COMPLETE
20,20,38.0,2023-12-06 11:15:27.667224,2023-12-06 11:16:07.931475,0 days 00:00:40.264251,0.6,0.33,0.0,100,weighted choice,COMPLETE
21,21,36.8,2023-12-06 11:16:07.931740,2023-12-06 11:16:12.237375,0 days 00:00:04.305635,0.0,0.01,,20,roulette wheel,COMPLETE
22,22,38.0,2023-12-06 11:16:12.237560,2023-12-06 11:16:36.058392,0 days 00:00:23.820832,0.95,0.5,0.0,50,roulette wheel,COMPLETE
23,23,35.6,2023-12-06 11:16:36.058607,2023-12-06 11:16:36.389786,0 days 00:00:00.331179,0.8,0.0,2.0,50,random selection,COMPLETE
24,24,37.2,2023-12-06 11:16:36.389972,2023-12-06 11:16:36.723442,0 days 00:00:00.333470,0.8,0.1,2.0,50,roulette wheel,COMPLETE
25,25,38.0,2023-12-06 11:16:36.723690,2023-12-06 11:16:43.972404,0 days 00:00:07.248714,0.5,0.0,0.0,10,roulette wheel,COMPLETE
26,26,37.2,2023-12-06 11:16:43.972577,2023-12-06 11:17:11.326245,0 days 00:00:27.353668,0.0,0.0,,50,random selection,COMPLETE
27,27,37.2,2023-12-06 11:17:11.326420,2023-12-06 11:17:16.489631,0 days 00:00:05.163211,0.0,0.1,,20,roulette wheel,COMPLETE
28,28,38.0,2023-12-06 11:17:16.489806,2023-12-06 11:17:17.100330,0 days 00:00:00.610524,0.5,0.5,4.0,50,roulette wheel,COMPLETE
29,29,37.6,2023-12-06 11:17:17.100519,2023-12-06 11:17:44.709390,0 days 00:00:27.608871,0.0,0.1,,100,weighted choice,COMPLETE
30,30,36.8,2023-12-06 11:17:44.709622,2023-12-06 11:17:47.666418,0 days 00:00:02.956796,0.0,0.1,,10,weighted choice,COMPLETE
31,31,36.8,2023-12-06 11:17:47.666615,2023-12-06 11:17:48.167805,0 days 00:00:00.501190,0.6,0.33,1.0,20,roulette wheel,COMPLETE
32,32,37.6,2023-12-06 11:17:48.167989,2023-12-06 11:17:51.335888,0 days 00:00:03.167899,0.95,0.01,0.0,10,weighted choice,COMPLETE
33,33,38.0,2023-12-06 11:17:51.336065,2023-12-06 11:17:51.703374,0 days 00:00:00.367309,0.6,0.1,4.0,10,roulette wheel,COMPLETE
34,34,38.4,2023-12-06 11:17:51.703547,2023-12-06 11:18:10.717179,0 days 00:00:19.013632,0.5,0.33,0.0,50,roulette wheel,COMPLETE
35,35,37.6,2023-12-06 11:18:10.717403,2023-12-06 11:18:11.257554,0 days 00:00:00.540151,0.6,0.33,4.0,50,weighted choice,COMPLETE
